Language,Family,FamilyIndex,Branch,First-language,Second-language,Total
English,Indo-European,1,Germanic,372900000,1080000000,1452000000
Mandarin Chinese,Sino-Tibetan,1,Sinitic,929000000,198700000,1118000000
Hindi,Indo-European,2,Indo-Aryan,343900000,258300000,602200000
Spanish,Indo-European,3,Romance,474700000,73600000,548300000
French,Indo-European,4,Romance,79900000,194200000,274100000
Modern Standard Arabic,Afro-Asiatic,1,Semitic,0,274000000,274000000
Bengali,Indo-European,5,Indo-Aryan,233700000,39000000,272700000
Russian,Indo-European,6,Balto-Slavic,154000000,104100000,258200000
Portuguese,Indo-European,7,Romance,232400000,25200000,257700000
Urdu,Indo-European,8,Indo-Aryan,70200000,161000000,231300000
Indonesian,Austronesian,1,Malayo-Polynesian,43600000,155400000,199000000
Standard German,Indo-European,9,Germanic,75600000,59100000,134600000
Japanese,Japonic,1,—,125300000,100000,125400000
Nigerian Pidgin,English Creole,1,Krio,4700000,116000000,120700000
Marathi,Indo-European,10,Indo-Aryan,83100000,16000000,99100000
Telugu,Dravidian,1,South-Central,82700000,13000000,95700000
Turkish,Turkic,1,Oghuz,82200000,5900000,88100000
Tamil,Dravidian,2,Southern,78400000,8000000,86400000
Yue Chinese,Sino-Tibetan,2,Sinitic,85200000,400000,85600000
Vietnamese,Austroasiatic,1,Vietic,84600000,700000,85300000
Tagalog,Austronesian,2,Central Philippine,28200000,54200000,82300000
Wu Chinese,Sino-Tibetan,3,Sinitic,81700000,100000,81800000
Korean,Koreanic,1,—,0,0,81700000
Iranian Persian,Indo-European,11,Iranian,56400000,21000000,77400000
Hausa,Afro-Asiatic,2,Chadic,50800000,26300000,77100000
Egyptian Spoken Arabic,Afro-Asiatic,3,Semitic,0,0,74800000
Swahili,Niger-Congo,1,Bantu,16100000,55400000,71400000
Javanese,Austronesian,3,Malayo-Polynesian,0,0,68300000
Italian,Indo-European,12,Romance,64800000,3100000,67900000
Western Punjabi,Indo-European,13,Indo-Aryan,0,0,66400000
Kannada,Dravidian,3,Southern,48600000,15400000,64000000
Gujarati,Indo-European,14,Indo-Aryan,57000000,5000000,62000000
Thai,Kra-Dai,1,Zhuang–Tai,20700000,40000000,60700000
Amharic,Afro-Asiatic,4,Semitic,32400000,25100000,57500000
Bhojpuri,Indo-European,15,Indo-Aryan,52300000,200000,52500000
Eastern Punjabi,Indo-European,16,Indo-Aryan,48100000,3600000,51700000
Min Nan Chinese,Sino-Tibetan,4,Sinitic,49300000,400000,49700000
Jin Chinese,Sino-Tibetan,5,Sinitic,0,0,47100000
Yoruba,Niger-Congo,2,Atlantic–Congo,43600000,2000000,45600000
Hakka Chinese,Sino-Tibetan,6,Sinitic,43800000,200000,44100000
Burmese,Sino-Tibetan,7,Tibeto-Burman,33000000,10000000,43000000
Sudanese Spoken Arabic,Afro-Asiatic,5,Semitic,33300000,9000000,42300000
Polish,Indo-European,17,Balto-Slavic,40000000,700000,40600000
Algerian Spoken Arabic,Afro-Asiatic,6,Semitic,34700000,5600000,40300000
Lingala,Niger-Congo,3,Atlantic–Congo,20300000,20000000,40300000